codigo_mesa	id_eleccion	partido_id	votos	pct_votos_validos	pct_votos_emitidos
015227	10	82	0	0.0	0.0
015371	10	10	154	69.369	66.379
015371	10	8	68	30.631	29.31
015371	10	80	0	0.0	0.0
015371	10	81	10	0.0	4.31
015371	10	82	0	0.0	0.0
015514	10	10	142	64.84	57.724
015514	10	8	76	34.703	30.894
015514	10	80	1	0.0	0.407
015514	10	81	26	0.0	10.569
015514	10	82	1	0.0	0.407
015556	10	10	144	71.642	66.359
015556	10	8	54	26.866	24.885
015556	10	80	0	0.0	0.0
015556	10	81	16	0.0	7.373
015556	10	82	3	0.0	1.382
015571	10	10	163	70.259	65.726
015571	10	8	66	28.448	26.613
015571	10	80	0	0.0	0.0
015571	10	81	16	0.0	6.452
015571	10	82	3	0.0	1.21
015572	10	10	155	67.982	64.583
015572	10	8	72	31.579	30.0
015572	10	80	0	0.0	0.0
015572	10	81	12	0.0	5.0
015572	10	82	1	0.0	0.417
015589	10	10	153	72.857	68.304
015589	10	8	57	27.143	25.446
015589	10	80	0	0.0	0.0
015589	10	81	14	0.0	6.25
015589	10	82	0	0.0	0.0
015638	10	10	143	68.095	64.414
015638	10	8	64	30.476	28.829
015638	10	80	2	0.0	0.901
015638	10	81	10	0.0	4.505
015638	10	82	3	0.0	1.351
015640	10	10	157	75.12	69.163
015640	10	8	52	24.88	22.907
015640	10	80	1	0.0	0.441
015640	10	81	17	0.0	7.489
015640	10	82	0	0.0	0.0
015704	10	10	146	65.471	60.833
015704	10	8	77	34.529	32.083
015704	10	80	0	0.0	0.0
015704	10	81	17	0.0	7.083
015704	10	82	0	0.0	0.0
015711	10	10	147	68.056	60.996
015711	10	8	69	31.944	28.631
015711	10	80	5	0.0	2.075
015711	10	81	20	0.0	8.299
015711	10	82	0	0.0	0.0
015781	10	10	90	45.226	40.359
015781	10	8	109	54.774	48.879
015781	10	80	0	0.0	0.0
015781	10	81	24	0.0	10.762
015781	10	82	0	0.0	0.0
015953	10	10	114	49.782	46.341
015953	10	8	115	50.218	46.748
015953	10	80	2	0.0	0.813
015953	10	81	15	0.0	6.098
015953	10	82	0	0.0	0.0
015965	10	10	104	53.333	34.783
015965	10	8	91	46.667	30.435
015965	10	80	63	0.0	21.07
015965	10	81	41	0.0	13.712
015965	10	82	0	0.0	0.0
015975	10	10	116	52.727	50.435
015975	10	8	103	46.818	44.783
